,Unnamed: 0,propertyID_hemnet,houseAddress_1,houseAddress_2,Municipality,Date_of_sale_txt,Date_of_sale,Final_price,Starting_price,Housing_type,Tenure_type,Rooms,Living_Area_m2,Ancillary_Area_m2,Lot_area_m2,year_built,Ground_Rent_perYear,Operating_Cost,Patio_dummy,Elevator_dummy,Balcony_Dummy,Floor,Total_Floors,link
1335,1336,526004.0,Helgesvägen 12A,"Älvängen, Ale kommun",Ale,31 maj 2016,2016-05-31,1800000,0.0,detached house,Ownership,3.0,68.0,0.0,813,1928,0,10500,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-alvangen-ale-kommun-helgesvagen-12a-526004
1336,1337,525143.0,Torpavägen 19,"NÖDINGE, Ale kommun",Ale,31 maj 2016,2016-05-31,2600000,0.0,detached house,Ownership,5.0,154.0,11.0,5000,1929,0,25480,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-nodinge-ale-kommun-torpavagen-19-525143
1337,1338,525142.0,Ryd 435,"Nol, Ale kommun",Ale,31 maj 2016,2016-05-31,1795000,0.0,detached house,Ownership,3.0,67.0,5.0,4351,1978,0,32900,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-nol-ale-kommun-ryd-435-525142
1338,1339,525427.0,Solhöjdsvägen 1,"Älvängen, Ale kommun",Ale,30 maj 2016,2016-05-30,3700000,0.0,detached house,Ownership,7.0,179.0,55.0,781,1963,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-7rum-alvangen-ale-kommun-solhojdsvagen-1-525427
1339,1340,524560.0,Hålan 440,"Skepplanda, Ale kommun",Ale,30 maj 2016,2016-05-30,1900000,0.0,detached house,Ownership,5.0,140.0,0.0,3158,0,0,17677,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-skepplanda-ale-kommun-halan-440-524560
1340,1341,524540.0,Alekärrsvägen 25,"Surte, Ale kommun",Ale,30 maj 2016,2016-05-30,3300000,0.0,detached house,Ownership,4.0,100.0,60.0,810,1948,0,25896,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-surte-ale-kommun-alekarrsvagen-25-524540
1341,1342,524525.0,Gustav Larssons Väg 56,"Älvängen, Ale kommun",Ale,30 maj 2016,2016-05-30,2906000,0.0,detached house,Ownership,5.0,113.0,5.0,282,1974,0,34607,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-alvangen-ale-kommun-gustav-larssons-vag-56-524525
1342,1343,522044.0,Södergården 18,"Nol, Ale kommun",Ale,26 maj 2016,2016-05-26,2875000,0.0,detached house,Ownership,4.0,133.0,0.0,274,1981,0,36611,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-nol-ale-kommun-sodergarden-18-522044
1343,1344,521211.0,Skaftvägen 10,"Alafors, Ale kommun",Ale,25 maj 2016,2016-05-25,2150000,0.0,detached house,Ownership,4.0,80.0,0.0,347,1975,0,19900,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-alafors-ale-kommun-skaftvagen-10-521211
1344,1345,521022.0,Åsliden 8,"Alafors, Ale kommun",Ale,24 maj 2016,2016-05-24,2800000,0.0,detached house,Ownership,7.0,217.0,31.0,1732,1979,0,31880,0,0,0,,,https://www.hemnet.se/salda/villa-7rum-alafors-ale-kommun-asliden-8-521022
1345,1346,520729.0,Göteborgsvägen 151,"Surte, Ale kommun",Ale,24 maj 2016,2016-05-24,2300000,0.0,detached house,Ownership,5.0,107.0,45.0,3278,1928,0,35897,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-surte-ale-kommun-goteborgsvagen-151-520729
